2021 Global Rank Forbes 2000,Company Name,Industry,Country/Territory ,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e,Scope 3 emissions  tons CO₂e,Scope 1 GHG emissions tons CO₂e,Scope 2 emissions  tons CO₂e (location based when available),Scope 1+2,Scope 3 emissions  tons CO₂e,Scope 1-3 emissions,Profit per ton in Scope 1+2,Profit per ton in Scope 1+2+3,Share of profit if carbon price for Scope 1-2 is 100 USD,Share of profit if carbon price X for Scope 3,Combined share of profits,Share of Revenue (Sales) Scope 1+2 if carbon price 100 USD,Share of Revenue (sales) Scope 1+2+3 if carbon price 100 USD,CO2 intensity gram CO2/USD. (Scope 1-3/Revenue),1% of profit means,"Datasource emission data (name, link + page nr)", Sales/Revenue,Profit
224,Nordea Bank        ,Banking,Finland,1 638 ,5 394,25 014,1 455,4 793,6 248,9 723,15 971,$404 930,$158 412,#REF!,#REF!,#REF!,#REF!,#REF!,"1,3",$1 584,"annual-report-nordea 2021, page 323 https://www.nordea.com/en/doc/annual-report-nordea-bank-abp-2021.pdf",$12 700 000 000,$2 530 000 000
225,Northrop Grumman        ,Aerospace & Defense,United States,145 156 ,339 904,--,109 741,313 927,423 668,--,,$7 529,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Northrop-Grumman_2020-SustainabilityReport, page 83, https://www.northropgrumman.com/wp-content/uploads/Northrop-Grumman_2020-SustainabilityReport.pdf",$36 800 000 000,$3 190 000 000
226,ABB         ,Conglomerates,Switzerland,396 000 ,602 000,5 952 000,226 000,336 000,562 000,6 126 000,6 688 000,$9 039,$760,#REF!,#REF!,#REF!,#REF!,#REF!,257,$8,"sustainability-performance-2020-abb, page 122 https://sustainabilityreport.abb.com/2020/servicepages/downloads/files/sustainability-performance-2020-abb-csr20.pdf",$26 000 000 000,$5 080 000 000
227,China Evergrande Group       ,Construction,China,11 451 ,214 323,--,9 735,267 627,277 362,--,,$4 182,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2019, page 77 https://doc.irasia.com/listco/hk/evergrande/annual/2020/esr.pdf ; 2020, page 92 https://doc.irasia.com/listco/hk/evergrande/annual/2020/esr.pdf",$74 000 000 000,$1 160 000 000
228,Seven & I Holdings      ,Food Markets,Japan,122 391 ,2 853 560,--,111 752,2 657 180,2 768 932,--,,$610,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Seven & i Holdings Co., Ltd. Sustainability Data Book 2021, page 212 https://www.7andi.com/library/dbps_data/_template_/_res/en/sustainability/sustainabilityreport/2021/pdf/2021_all_01.pdf",$54 400 000 000,$1 690 000 000
229,KB Financial Group       ,Banking,South Korea,18 980 ,111 731,26 761 188,17 861,122 027,139 888,--,,$20 802,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"KBFG_2020_SR, page 87 file:///C:/Users/muham/Downloads/KBFG_2020_SR.pdf",$30 800 000 000,$2 910 000 000
230,Sunac China Holdings       ,Construction,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.sunac.com.cn/upload/file/2020-09-16/fa6ae2b0-577d-4acd-8dc5-30be273888fa.pdf,$34 100 000 000,$5 200 000 000
231,Kroger         ,Food Markets,United States,2 445 526 ,6 826 569,2 175 346,2 284 131,3 018 225,5 302 356,1 655 613,6 957 969,$487,$371,#REF!,#REF!,#REF!,#REF!,#REF!,53,$4,"Kroger-2020-ESG-Report, page 16, https://www.thekrogerco.com/wp-content/uploads/2021/07/Kroger-2020-ESG-Report.pdf ; Kroger-2021-ESG-Report, page 27 https://www.thekrogerco.com/wp-content/uploads/2021/07/Kroger-2021-ESG-Report.pdf",$132 500 000 000,$2 580 000 000
232,"KGaA, Darmstadt, Germany and its affiliates    ",Drugs & Biotechnology,Germany,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.merckgroup.com/en/news/sustainability-report-2020-04-13.html,,
233,E.ON         ,Utilities,Germany,4 276 967 ,5 313 140,132 574 981,3 924 228,4 490 000,8 414 228,108 210 000,116 624 228,$122,$9,#REF!,#REF!,#REF!,#REF!,#REF!,1 678,$0,"2020 Sustainability Report, page 138, https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/sustainability/en/sustainability-report/2020/EON_2020_Sustainability_Report.pdf",$69 500 000 000,$1 030 000 000
234,PTT         ,Oil & Gas Operations,Thailand,11 637 769 ,204 511,81 862 930,11 049 816,180 782,11 230 598,75 115 542,86 346 140,$107,$14,#REF!,#REF!,#REF!,#REF!,#REF!,1 673,$0,"Final Performance Data report, page 19 https://www.pttplc.com/uploads/Sustainability/2021/02.EN/08.%20Sustainability%20Report/Final%20Performance%20Data%20EN_DJSIrevised170621.pdf",$51 600 000 000,$1 200 000 000
234,Telefónica         ,Telecommunications Services,Spain,229 296 ,657 024,2 699 717,207 872,467 587,675 459,2 146 226,2 821 685,$2 250,$539,#REF!,#REF!,#REF!,#REF!,#REF!,57,$5,"Consolidated Annual Report 2021, page 80, file:///C:/Users/muham/Downloads/consolidated-management-report-2021.pdf",$49 100 000 000,$1 520 000 000
236,National Grid        ,Utilities,United Kingdom,--,--,--,3903000,5205000,,30849000,,,,#REF!,#REF!,,,#REF!,,,"Environmental sustainability, page 59 https://www.nationalgrid.com/document/142021/download",$18 800 000 000,$1 870 000 000
237,HP         ,Technology Hardware & Equipment,United States,61 900 ,153 900,46 570 000,50 600,203 600,254 200,44 720 000,44 974 200,$12 707,$72,#REF!,#REF!,#REF!,#REF!,#REF!,779,$1,"HP 2020 Sustainability Impact Report, page 21, https://h20195.www2.hp.com/v2/GetDocument.aspx?docname=c07539064",$57 700 000 000,$3 230 000 000
238,Danone         ,"Food, Drink & Tobacco",France,722 000 ,588 000,25 869 000,668 000,479 000,1 147 000,24 974 000,26 121 000,$1 927,$85,#REF!,#REF!,#REF!,#REF!,#REF!,971,$1,"3,https://integrated-annual-report-2020.danone.com/wp-content/uploads/Danone-exhaustive-2020-environmental-data.pdf",$26 900 000 000,$2 210 000 000
239,Panasonic         ,Consumer Durables,Japan,440 000 ,2 000 000,74 617 000,390 000,1 930 000,2 320 000,104 291 000,106 611 000,$716,$16,#REF!,#REF!,#REF!,#REF!,#REF!,1 722,$0,"sdb2020 report, page 32, https://www.panasonic.com/global/corporate/sustainability/pdf/sdb2019e.pdf",$61 900 000 000,$1 660 000 000
240,Power Corp of Canada      ,Diversified Financials,Canada,28 940 ,31 124,190 191,18 482,27 371,45 853,163 756,209 609,$33 368,$7 299,#REF!,#REF!,#REF!,#REF!,#REF!,5,$73,"Power Corporation - 2020 ESG Data Supplement, page 5 https://www.powercorporationcsr.com/media/uploads/reports/power_corporation_-_2020_esg_data_supplement_-_final.pdf",$43 900 000 000,$1 530 000 000
241,Mastercard         ,Business Services & Supplies,United States,5 244 ,57 654,554 475,3 550,52 806,56 356,403 603,459 959,$113 741,$13 936,#REF!,#REF!,#REF!,#REF!,#REF!,30,$139,"Mastercard Sustainability Report 2020, page 68, https://www.mastercardcenter.org/content/dam/mc-cig/uploads/mastercard-sustainability-report-2020.pdf",$15 300 000 000,$6 410 000 000
242,Baidu         ,IT Software & Services,China,5 390 ,300 588,19 810,5 974,468 245,474 219,16 621,490 840,$6 896,$6 662,#REF!,#REF!,#REF!,#REF!,#REF!,32,$67,"Baidu 2020 Environmental, Social and Governance Report, page 35 file:///C:/Users/muham/Downloads/Baidu%202020%20Environmental,%20Social%20and%20Governance%20Report.pdf",$15 500 000 000,$3 270 000 000
243,PICC         ,Insurance,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://property.picc.com/tzzgx/en/gonggaotonghan/2021/202104/P020210415585391053207.pdf,$82 400 000 000,$2 890 000 000
244,Fortum         ,Utilities,Finland,19 100 000 ,77 800,5 809 300,48 800 000,808 600,49 608 600,27 836 400,77 445 000,$42,$27,#REF!,#REF!,#REF!,#REF!,#REF!,1 385,$0,"Fortum Sustainability 2020, page 37,38 https://www.fortum.com/files/fortum-sustainability-2020/download",$55 900 000 000,$2 080 000 000
245,Fresenius         ,Health Care Equipment & Services,Germany,517 000 ,993 000,--,537 000,984 000,1 521 000,--,,$1 282,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Fresenius Annual Report 2020, page 176 https://annualreport.fresenius.com/wp-content/uploads/sites/6/2021/03/Fresenius_Annual_Report_2020.pdf",$41 400 000 000,$1 950 000 000
246,Dow         ,Chemicals,United States,29 982 867 ,12 423 048,103 553 944,28 200 000,4 900 000,33 100 000,69 256 630,102 356 630,$37,$12,#REF!,#REF!,#REF!,#REF!,#REF!,2 659,$0,"2020 Environmental, Social and Governance Report, page 180 https://corporate.dow.com/documents/about/066-00338-01-2020-esg-report.pdf",$38 500 000 000,$1 220 000 000
247,Archer Daniels Midland       ,"Food, Drink & Tobacco",United States,14 800 000 ,3 000 000,--,13 500 000,2 700 000,16 200 000,41 667 367,57 867 367,$109,$31,#REF!,#REF!,#REF!,#REF!,#REF!,899,$0,"2020-Corporate-Sustainability-Report, page 27 https://assets.adm.com/Sustainability/2020-Corporate-Sustainability-Report_210521_121113.pdf",$64 400 000 000,$1 770 000 000
248,Shinhan Financial Group       ,Diversified Financials,South Korea,14 086 ,76 108,--,13 796,77 081,90 877,--,,$31 031,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"2020 ESG Report, Page 31 http://www.shinhangroup.com/kr/common/download/commonDownload.jsp?actionValue=PDF&pathKey=CSRREPORT&fileName=SFG_2020_ESG_Report_eng.pdf",$22 900 000 000,$2 820 000 000
249,ASML Holding        ,Semiconductors,Netherlands,16 900 ,141 400,6 500 000,15 400,139 800,155 200,8 400 000,8 555 200,$26 095,$473,#REF!,#REF!,#REF!,#REF!,#REF!,538,$5,"ASML Annual Report US GAAP 2021, page 59 file:///C:/Users/muham/Downloads/ASML%20Annual%20Report%20US%20GAAP%202021%20unsvf2.pdf",$15 900 000 000,$4 050 000 000
250,American Electric        ,Utilities,United States,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,http://www.aepsustainability.com/performance/docs/2020CDPClimateSurvey.pdf,$14 900 000 000,$2 200 000 000
251,Becton Dickinson        ,Health Care Equipment & Services,United States,129 755 ,264 657,2 725 883,128 659,349 138,477 797,2 494 146,2 971 943,$3 349,$538,#REF!,#REF!,#REF!,#REF!,#REF!,163,$5,"BD_Sustainability-report-2020, page 85,86 file:///C:/Users/muham/Downloads/BD_Sustainability-report-2020_EN.pdf",$18 200 000 000,$1 600 000 000
252,Gree Electric Appliances       ,Consumer Durables,China,N/A,N/A,N/A,N/A,N/A,,N/A,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://global.gree.com/upload/files/2021/7/Gree_Annual_Report_2020_English_Version.PDF,$24 300 000 000,$2 320 000 000
253,LafargeHolcim         ,Construction,Switzerland,121 000 000 ,8 000 000,19 000 000,110 000 000,7 000 000,117 000 000,29 000 000,146 000 000,$15,$12,#REF!,#REF!,#REF!,#REF!,#REF!,5 911,$0,"Sustainability Performance Report 2020, page 5 https://annual-report.lafargeholcim.com/index.php?eID=dumpFile&t=f&f=59&token=f2e58edf877d076d621b7a0cd513318519b29a93",$24 700 000 000,$1 790 000 000
